rank	kind	score	domain	title	region	protocol	freshness	auth	reuse_pattern	score_src	path
1	config	17	transit	Israel Ministry of Transport — Open Data Portal (SIRI/GTFS-RT Transit)	Israel	CKAN REST API + SIRI SM (real-time transit)	Daily vehicle registration updates; real-time SIRI transit predictions	None for CKAN; API key for SIRI feeds	GTFS-RT/SIRI (transit)	total	tools/candidates/transit/israel-mot-transit.md
2	config	16	bikeshare-gbfs	Yaldi Dubai (GBFS)	United Arab Emirates / Dubai	GBFS 3.0 (General Bikeshare Feed Specification)	Real-time (free-floating e-scooter availability updated continuously)	None	GBFS (micromobility)	explicit	tools/candidates/bikeshare-gbfs/ae-yaldi-dubai.md
3	config	16	transit	Digitransit — Finland National Journey Planner	Finland (national, with focus on Helsinki HSL region)	OpenTripPlanner 2 GraphQL + GTFS-RT	Real-time — GTFS-RT feeds updated every 15–30 s; GraphQL queries reflect real-time	API key required (free registration via Azure API Management portal)	GTFS-RT/SIRI (transit)	total	tools/candidates/transit/digitransit-finland.md
4	config	16	transit	SNCF / transport.data.gouv.fr (France Rail Real-Time)	France	SIRI-Lite (REST) + GTFS-RT + SIRI (SOAP)	Every 30 seconds (GTFS-RT snapshot); SIRI-Lite per request	None for most feeds (open by default per French regulation)	GTFS-RT/SIRI (transit)	total	tools/candidates/transit/sncf-france.md
5	config	15	transit	Canadian Transit GTFS-RT — TTC, TransLink, STM	Canada (Toronto, Vancouver, Montreal)	GTFS-RT (Protobuf) + proprietary REST (TransLink RTTI)	Real-time — vehicle positions every 15–30 s; predictions real-time	TTC: no auth for GTFS-RT. TransLink: API key required. STM: API key required.	GTFS-RT/SIRI (transit)	total	tools/candidates/transit/canadian-transit.md
6	config	15	transit	SBB / Open Transport Data Switzerland	Switzerland (national)	REST/JSON (community API), OJP / SIRI / GTFS-RT (official platform)	Real-time — community API shows live delays; official GTFS-RT updated every ~20 s	Community API: none. Official platform: free API key via api-manager.opentransportdata.swiss	GTFS-RT/SIRI (transit)	total	tools/candidates/transit/sbb-opentransport.md
7	config	14	transit	BKK Budapest — Hungary Transit Open Data	Hungary (Budapest)	GTFS-RT (Protobuf) + proprietary REST/JSON (Futár API)	Real-time — GTFS-RT feeds updated every ~15 s	GTFS-RT: appears open (confirmed 200). REST API: API key required (free registration)	GTFS-RT/SIRI (transit)	total	tools/candidates/transit/bkk-budapest.md
8	config	14	transit	STIB-MIVB Brussels Open Data	Belgium - Brussels Capital Region	REST (Opendatasoft JSON APIs) plus GTFS/GTFS-RT through the Belgian mobility portal	Real-time - vehicle positions update about every 20 seconds	None for catalog access; verify per-feed limits during implementation	GTFS-RT/SIRI (transit)	total	tools/candidates/transit/stib-mivb-brussels.md
9	new	18	ev-charging	Nationale Databank Laadinfrastructuur (NDL) Netherlands	Netherlands	File download (OCPI format, GeoJSON)	Continuous — files updated every few minutes	None	GeoJSON REST (poller)	total	tools/candidates/ev-charging/ndl-netherlands.md
10	new	18	noise	NYC 311 Noise Complaints (Socrata/Open Data)	New York City, USA	REST (Socrata SODA 2.0)	Near real-time (complaints appear within minutes)	None required (app token recommended for higher rate limits)	GeoJSON REST (poller)	total	tools/candidates/noise/nyc-311-noise.md
11	new	18	parking	Melbourne On-Street Parking Sensors	Australia — Melbourne	REST (Opendatasoft API)	Real-time (per-event sensor updates)	None	GeoJSON REST (poller)	total	tools/candidates/parking/melbourne-parking-sensors.md
12	new	18	citizen-sensors	iNaturalist	Global	REST (JSON)	Real-time — observations available within seconds of upload	None (read), OAuth2 (write)		total	tools/candidates/citizen-sensors/inaturalist.md
13	new	18	energy	US EIA Hourly Electric Grid Monitor	United States (all balancing authorities)	REST	Hourly (Form EIA-930)	API Key (free registration at https://www.eia.gov/opendata/)		total	tools/candidates/energy/eia-grid-monitor.md
14	new	18	ev-charging	NOBIL Norway	Norway (+ Sweden, Finland via Nordic integration)	REST	Near real-time (registry updates as operators report; real-time connector status available)	API Key (free registration required)		total	tools/candidates/ev-charging/nobil-norway.md
15	new	17	ev-charging	AFDC Alternative Fuel Stations (DOE/NREL)	United States + Canada	REST	Daily (last_updated endpoint confirms same-day updates)	API Key (free registration at developer.nrel.gov)	GeoJSON REST (poller)	total	tools/candidates/ev-charging/afdc-nrel.md
16	new	17	ev-charging	MobiData BW E-Ladesäulen	Germany — Baden-Württemberg	HTTPS pull	Near-real-time; public source inventory and DATEX publication timestamps updated on 2026-04-08 during probe	None observed during probe	DATEX II (road traffic)	total	tools/candidates/ev-charging/mobidata-bw.md
17	new	17	ev-charging	Mobilithek AFIR EV Charging (Germany NAP)					DATEX II (road traffic)	total	tools/candidates/ev-charging/mobilithek-afir.md
